Annual_Income,Num_of_Delayed_Payment,Monthly_Inhand_Salary,Credit_Score
8830.81,19.0,489.43602225137255,Poor
44927.86,8.0,3687.988333333333,Good
32019.94,16.0,2598.328333333333,Good
21039.8,11.0,1875.3166666666664,Poor
32011.89,9.0,2806.6575,Poor
38694.66,12.0,3080.5550000000007,Good
15835.495,20.0,1107.6245833333337,Good
74961.78,9.0,6492.815,Good
20701.48,21.0,1909.1233333333328,Poor
15706.805,6.0,1192.9004166666666,Good
35161.46,21.0,2930.1216666666664,Poor
8717.04,13.0,499.5147590707393,Poor
144423.72,11.0,11953.31,Poor
33498.8,8.0,2567.566666666667,Poor
78443.48,19.0,6358.956666666666,Poor
14208.865,4.0,1365.0720833333332,Good
60314.22,10.0,5004.185,Poor
14367.78,4.0,1015.315,Poor
77380.48,0.0,6618.373333333332,Good
25971.13,9.0,1912.260833333333,Good
74366.94,7.0,6380.245,Good
48070.3,15.0,4233.858333333334,Good
83483.96,2.0,6952.996666666668,Poor
42337.39,13.0,3545.1158333333333,Good
175127.04,8.0,14635.92,Poor
51729.75,18.0,4565.8125,Poor
76650.12,13.0,6558.509999999998,Poor
98112.03,5.0,8417.002499999999,Good
77108.98,9.0,6528.748333333332,Good
33518.12,14.0,2879.1766666666667,Poor
17759.1,20.0,1533.925,Poor
42877.62,18.0,3446.135,Poor
20700.455,2.0,1870.037916666667,Good
34266.08,11.0,3038.5066666666667,Poor
8215.87,21.0,598.7241188748529,Poor
15410.19,25.0,1554.1825,Poor
17756.42,13.0,1630.7016666666666,Poor
41398.44,11.0,3749.87,Good
20961.365,11.0,1898.780416666667,Good
17692.27,25.0,1335.3558333333333,Poor
34829.92,0.0,3031.4933333333333,Good
44332.62,23.0,3691.385,Poor
68267.04,15.0,5531.094715382072,Poor
12600.445,19.0,782.0370833333334,Poor
128189.37,0.0,10390.4475,Good
34058.47,4.0,2874.205833333333,Good
167492.8,8.0,14254.733333333332,Good
44328.93,19.0,3452.0775,Poor
17172.14,15.0,1381.0116666666663,Poor
21964.79,3.0,1783.3991666666668,Good
62661.54,16.0,5053.795,Good
10156.33,19.0,755.3608333333333,Poor
8439.33,25.0,554.2775,Poor
114929.01,-1.0,9469.4175,Good
19215.26,11.0,1353.2716666666663,Poor
37760.22,10.0,3393.685,Good
33718.86,7.0,2928.905,Good
37889.06,23.0,3034.421666666666,Poor
73378.32,24.0,5832.8600000000015,Poor
22049.235,1.0,1764.43625,Good
62008.35000000001,16.0,5256.3625,Poor
16833.86,24.0,1230.8216666666667,Good
144901.76,8.0,12350.146666666667,Good
35952.25,9.0,2966.020833333333,Good
54553.59,27.0,4547.1325,Poor
74106.94,0.0,5902.578333333334,Good
58452.18,1.0,4676.015,Poor
90182.31,2.0,7525.1925,Poor
72896.12,5.0,5885.676666666666,Good
18736.83,18.0,1682.4025,Good
18949.07,18.0,1562.0891666666666,Poor
11958.695,18.0,903.5579166666664,Poor
9347.59,22.0,812.9658333333333,Poor
15360.58,7.0,981.0483333333334,Poor
32500.35,2.0,2853.3625,Good
17805.15,16.0,1711.7625,Poor
51370.17,17.0,4042.8475,Poor
59448.04,22.0,4870.003333333333,Poor
9026.645,14.0,599.2204166666667,Poor
20005.22,21.0,1683.101666666667,Poor
97536.09,9.0,8255.0075,Good
61614.9,5.0,5364.575,Good
12860.695,19.0,1348.7245833333334,Poor
8305.15,19.0,620.0958333333333,Poor
137798.88,14.0,10609.791908648782,Good
37057.58,12.0,3063.1316666666667,Good
59359.04,17.0,4961.586666666667,Poor
22144.945,-1.0,1752.4120833333334,Good
52639.65,8.0,4618.6375,Poor
31029.7,14.0,2519.808333333333,Good
16266.91,13.0,1220.575833333333,Poor
8605.54,23.0,722.1283333333334,Poor
19749.04,25.0,1544.753333333333,Poor
19562.27,9.0,1877.1891666666668,Poor
429751.0,16.0,1536.6391666666666,Good
43609.13,2.0,3420.0941666666663,Poor
14840.5,22.0,1501.708333333333,Poor
22115.435,4.0,1732.9529166666669,Good
17902.265,12.0,1306.8554166666663,Good
31732.61,10.0,2899.3841666666667,Poor
117551.96,22.0,9719.996666666668,Poor
19723.82,14.0,1398.6516666666666,Poor
16618.17,13.0,1628.8475,Poor
10250.2,186.0,873.1833333333334,Poor
16048.76,19.0,1623.3966666666668,Poor
44768.73,17.0,3911.7275,Poor
41153.9,8.0,3322.491666666667,Good
30355.01,4.0,2525.5841666666665,Good
40369.07,0.0,3186.089166666666,Good
17258.715,11.0,1691.22625,Good
33531.29,2.0,2994.274166666666,Good
51433.89,16.0,4374.1575,Poor
57810.68,19.0,4896.556666666666,Good
85272.06,10.0,7276.005,Good
19386.02,15.0,1858.5016666666668,Poor
21145.595,4.0,1604.132916666667,Poor
47725.98,11.0,4099.164999999999,Poor
74268.2,19.0,6186.016666666666,Good
18569.39,20.0,1671.4491666666663,Poor
117566.96,8.0,9813.246666666668,Good
29368.56,13.0,2483.38,Good
8571.29,25.0,514.2741666666667,Poor
19132.66,20.0,1583.388333333333,Poor
133581.15000000002,8.0,11103.762500000004,Good
143665.12,5.0,12168.093333333332,Poor
59992.12,16.0,5265.343333333333,Poor
39608.9,18.0,3503.741666666667,Poor
7890.515,20.0,932.5429166666668,Poor
41771.88,12.0,3337.99,Poor
169106.96,6.0,13943.246666666664,Good
37261.31,2.0,2948.109166666666,Good
44801.72,10.0,3973.476666666667,Good
68488.88,11.0,5692.406666666668,Poor
106824.68,23.0,9088.056666666664,Good
17535.57,18.0,1628.2975,Poor
139294.4,0.0,11380.866666666669,Good
35566.44,11.0,3239.870000000001,Poor
18843.62,8.0,1603.3016666666665,Poor
58267.23,9.0,4943.6025,Poor
117019.2,8.0,9443.54559157295,Good
7388.705,17.0,441.72541666666666,Poor
121831.0,4.0,9912.583333333334,Good
14080.81,18.0,1142.4008333333334,Poor
24057.73,12.0,2279.810833333333,Good
70334.76,25.0,5602.23,Poor
69740.96,2.0,5926.746666666668,Good
122978.43,2.0,10514.2025,Good
15191.03,8.0,1523.9191666666668,Poor
83923.24,20.0,6723.6033333333335,Good
136399.96,12.0,11510.663333333332,Good
15931.72,15.0,1179.6433333333332,Poor
16988.435,1.0,1531.7029166666669,Good
139582.6,11.0,11353.883333333331,Good
66376.28,12.0,5723.356666666668,Good
51711.96,21.0,4094.33,Poor
48121.32,23.0,4253.1100000000015,Poor
19963.97,8.0,1477.664166666667,Poor
101628.12,9.0,8730.01,Poor
57449.79,23.0,4907.4825,Poor
102626.97,6.0,8733.2475,Good
46449.98,18.0,4081.831666666667,Good
101910.75,10.0,8600.5625,Good
15985.56,19.0,1083.13,Poor
20101.36,25.0,1520.1133333333337,Poor
70414.1,10.0,6112.841666666667,Good
60423.56999999999,8.0,5269.2975,Poor
38644.16,17.0,3102.346666666667,Poor
164401.8,10.0,13674.15,Good
100233.4,13.0,8499.783333333333,Good
7979.775,11.0,531.9812499999998,Poor
124623.9,12.0,10305.325,Good
16183.75,18.0,1393.645833333333,Poor
14258.85,26.0,1135.2375,Poor
134035.08,7.0,11102.589999999998,Good
37889.06,23.0,3034.421666666666,Poor
17685.03,19.0,1358.7524999999996,Good
67691.12,3.0,5700.926666666666,Poor
92186.19,0.0,7487.1825,Good
137428.16,5.0,11355.346666666665,Good
112743.08,5.0,9463.256666666666,Poor
10287.56,19.0,788.2966666666665,Poor
105675.6,17.0,8894.3,Good
19639956.0,0.0,1711.7725,Good
69712.46,10.0,6075.371666666668,Good
84074.88,3.0,7097.240000000002,Good
37419.7,1.0,3174.308333333333,Good
86971.56,21.0,7053.63,Poor
70646.64,8.0,6135.22,Poor
74346.44,18.0,6134.536666666668,Poor
28910.14,21.0,2441.1783333333333,Poor
56539.04,23.0,4780.586666666667,Poor
16050.73,8.0,1315.5608333333332,Poor
11527.375,18.0,733.6145833333335,Good
113402.79,7.0,9707.2325,Poor
113383.13999999998,3.0,9321.595,Good
19807.545,8.0,1942.62875,Good
38539.57,1.0,3438.630833333333,Good
54539.52,24.0,4540.96,Poor
58464.06,11.0,4655.005,Good
19592.58,17.0,1405.715,Poor
15476.64,10.0,1174.72,Poor
40972.04,9.0,3623.336666666666,Poor
175572.44,0.0,14422.036666666669,Poor
15094.925,9.0,1342.9104166666666,Poor
21412.855,7.0,1708.4045833333332,Good
54568.92,15.0,4452.41,Poor
37443.13,0.0,3091.2608333333333,Poor
25573.07,11.0,1948.0891666666664,Good
14187.13,19.0,1342.2608333333333,Poor
9158.03,22.0,863.1691666666667,Poor
74800.0,7.0,5967.333333333332,Good
30958.06,6.0,2758.8383333333336,Good
61181.88,25.0,5192.49,Poor
25971.13,9.0,1912.260833333333,Good
83206.72,22.0,7003.8933333333325,Poor
143552.0,3.0,11956.666666666664,Good
60106.11,17.0,4895.8425,Poor
48818.10000000001,18.0,4293.175000000001,Poor
32303.73,2.0,2927.9775,Good
106141.53,1.0,7942.695240337763,Good
9603.845,10.0,510.3204166666666,Good
124020.44,10.0,10163.036666666669,Poor
29313.3,1.0,2151.775,Good
33841.55,0.0,2741.129166666667,Good
118644.36000000002,2.0,10033.03,Good
20864.93,9.0,1484.7441666666666,Poor
16474.49,10.0,1165.8741666666667,Poor
31608.12,18.0,2441.01,Poor
171781.8,12.0,14185.15,Good
81100.8,20.0,6822.4000000000015,Poor
44551.13,3.0,3539.5941666666663,Poor
17685.79,15.0,1186.815833333333,Poor
28131.62,7.0,2510.3016666666667,Poor
27909.81,19.0,2574.8175,Good
14638.54,18.0,1134.878333333333,Poor
134951.25,4.0,11014.9375,Good
39420.54,19.0,3389.045,Poor
68917.94,10.0,5498.161666666668,Good
79548.32,4.0,6355.026666666668,Good
7046.5,12.0,355.20833333333337,Poor
57303.36,16.0,4949.28,Poor
7186.5,22.0,850.875,Poor
8819.74,16.0,866.9783333333335,Poor
37654.18,20.0,3269.848333333333,Poor
62877.88,17.0,5485.823333333333,Poor
113383.13999999998,3.0,9321.595,Good
98690.8,20.0,8262.233333333334,Poor
17887.47,19.0,1542.6225000000004,Poor
128674.44,2.0,10551.87,Poor
28287.18,9.0,2236.265,Good
20721.78,23.0,1595.8149999999996,Poor
60423.56999999999,7.0,5269.2975,Poor
126982.68,9.0,9032.198036759755,Good
32151.76,17.0,2591.313333333333,Poor
16897.53,18.0,1165.1274999999996,Poor
68299.4,21.0,5401.616666666666,Poor
16192.1,18.0,1284.3416666666667,Poor
15984.15,14.0,1303.0125,Poor
38873.66,16.0,3239.471666666667,Poor
60284.16,4.0,5153.68,Poor
62854.98,16.0,5370.915,Poor
43241.49,19.0,3580.4575,Poor
17794.98,19.0,1666.915,Poor
58424.97,20.0,4893.7475,Poor
46929.57,10.0,4099.7975000000015,Poor
9989.875,14.0,618.4895833333334,Poor
19557.1,17.0,1423.7583333333332,Poor
34269.74,12.0,2950.811666666666,Good
68299.04,2.0,5887.586666666666,Good
22530.97,14.0,1684.5808333333334,Good
17455.005,3.0,1651.58375,Poor
36996.83,7.0,3152.0691666666667,Poor
83265.72,15.0,6899.81,Poor
16029346.0,1.0,9270.065,Good
12766.425,16.0,1206.86875,Good
57920.58,8.0,4640.715,Poor
8571.29,25.0,514.2741666666667,Poor
17923.05,16.0,1663.5875,Poor
148990.16,7.0,12474.846666666665,Good
97637.4,14.0,8159.45,Good
8057.43,13.0,561.4525,Poor
132848.88,12.0,10920.74,Good
71305.22,15.0,5914.1016666666665,Poor
38883.92,11.0,3163.3266666666664,Poor
67845.56,17.0,5815.796666666666,Poor
131253.81,10.0,11068.8175,Good
42032.76,7.0,3569.73,Poor
80377.68,16.0,6807.139999999999,Poor
43885.43,8.0,3596.119166666667,Good
62854.98,15.0,5370.915,Poor
32629.08,2793.0,2672.09,Poor
19199.49,5.0,1649.9575000000002,Good
85677.29999999999,2.0,7139.774999999999,Good
53098.47,19.0,4197.8725,Poor
16520.865,5.0,1492.7387500000002,Good
79837.02,5.0,6414.085,Poor
24057.73,15.0,2279.810833333333,Good
18796.03,18.0,1750.335833333333,Poor
63340.32,9.0,5345.36,Poor
19633.03,19.0,1760.085833333333,Poor
72817.88,18.0,6364.156666666668,Poor
19071.07,21.0,1887.2558333333327,Poor
51950.28,11.0,4218.19,Poor
72241.02,12.0,5751.085,Good
18600.88,16.0,1386.0733333333335,Poor
62855.32,18.0,5115.943333333334,Poor
90960.56,8.0,7498.046666666666,Good
141477.56,11.0,12012.796666666669,Good
108504.92,13.0,9075.076666666666,Poor
7703.635,17.0,651.9695833333334,Poor
42787.44,20.0,3802.62,Poor
18128.18,9.0,1810.6816666666664,Poor
20364.57,10.0,1626.0475,Poor
45033.54,18.0,3860.795,Poor
33314.96,27.0,2955.2466666666664,Poor
62139.51,23.0,5089.2925,Poor
40108.06,9.0,3554.338333333333,Poor
14734.29,19.0,1393.8575,Poor
67857.8,17.0,5498.816666666668,Poor
34132.87,14.0,2970.4058333333337,Good
56987.92,5.0,4626.993333333333,Good
14719.33,18.0,1289.070193202975,Poor
20883.55,20.0,1654.2958333333331,Good
104506.98,8.0,8986.915,Good
20762.97,19.0,1651.2475000000004,Poor
32187.36,14.0,2423.28,Poor
17004.68,13.0,1572.0566666666666,Poor
10341.68,23.0,761.8066666666667,Poor
151722.56,0.0,12352.546666666669,Good
61567.05,13.0,5163.5875,Poor
80027.68,8.0,6652.973333333332,Good
35417.27,5.0,2789.439166666666,Good
48657.42,21.0,3979.785,Poor
32991.92,15.0,2682.3266666666664,Poor
7201.505,12.0,488.1254166666666,Poor
102927.08,13.0,8130.152481107366,Good
45941.28,20.0,4006.44,Good
59823.58,11.0,5220.298333333333,Good
21931.995,8.0,1887.66625,Good
42447.54,16.0,3583.295,Poor
14547.7,16.0,1157.0259111579346,Poor
49211.16,14.0,4048.93,Poor
20975.4,11.0,1943.95,Good
41819.64,10.0,3730.97,Poor
37655.98,19.0,3365.998333333333,Poor
21964.79,5.0,1783.3991666666668,Good
134569.34999999998,7.0,10979.112499999996,Good
19631.51,17.0,1790.9591666666663,Poor
43450.25,-1.0,3711.854166666666,Good
